country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Norway,NOR,2021-04-29,1700785.0,1343500.0,357285.0,64674.0,27420.0,31.37,24.78,6.59,5058.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Panama,PAN,2021-04-29,672159.0,482089.0,190070.0,28220.0,11637.0,15.58,11.17,4.41,2697.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1387935992707964931
Philippines,PHL,2021-04-29,1880975.0,1614420.0,266555.0,,31649.0,1.72,1.47,0.24,289.0,"Oxford/AstraZeneca, Sinovac",Government of the Philippines,https://www.covid19.gov.ph/
Poland,POL,2021-04-29,11470800.0,8597875.0,2872925.0,389431.0,237691.0,30.31,22.72,7.59,6280.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,2021-04-29,3203178.0,2339925.0,863231.0,72771.0,53396.0,31.41,22.95,8.47,5237.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,2021-04-29,1526775.0,971973.0,554982.0,29942.0,25907.0,52.99,33.74,19.26,8992.0,Pfizer/BioNTech,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,2021-04-29,5161840.0,3255570.0,1906270.0,80391.0,83831.0,26.83,16.92,9.91,4358.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,2021-04-29,19523861.0,12152170.0,7371691.0,480090.0,329364.0,13.38,8.33,5.05,2257.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saint Lucia,LCA,2021-04-29,24230.0,,,107.0,55.0,13.2,,,300.0,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
San Marino,SMR,2021-04-29,28970.0,20269.0,8701.0,,547.0,85.36,59.72,25.64,16118.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
Saudi Arabia,SAU,2021-04-29,9000505.0,,,152880.0,176143.0,25.85,,,5060.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
Senegal,SEN,2021-04-29,410924.0,410924.0,,3943.0,2641.0,2.45,2.45,,158.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MinisteredelaS1/status/1387723943776301057
Sierra Leone,SLE,2021-04-29,59786.0,54084.0,5702.0,,904.0,0.75,0.68,0.07,113.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1381411242220018/1381410965553379/
Slovakia,SVK,2021-04-29,1551193.0,1062545.0,488648.0,18990.0,20748.0,28.41,19.46,8.95,3800.0,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,2021-04-29,610723.0,418867.0,191856.0,16880.0,6558.0,29.38,20.15,9.23,3155.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
South Africa,ZAF,2021-04-29,307591.0,307591.0,307591.0,9438.0,1664.0,0.52,0.52,0.52,28.0,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,2021-04-29,3254738.0,3056004.0,198734.0,277223.0,162863.0,6.35,5.96,0.39,3177.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
Sri Lanka,LKA,2021-04-29,933591.0,927711.0,5880.0,,464.0,4.36,4.33,0.03,22.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-29-04_10_21.pdf
Sweden,SWE,2021-04-29,3142934.0,2403165.0,739769.0,79249.0,53994.0,31.12,23.8,7.32,5346.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Taiwan,TWN,2021-04-29,54189.0,,,3356.0,2138.0,0.23,,,90.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Thailand,THA,2021-04-29,1411614.0,1075756.0,335858.0,66968.0,63827.0,2.02,1.54,0.48,914.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-04-30.pdf
Trinidad and Tobago,TTO,2021-04-29,42154.0,42154.0,,72.0,2581.0,3.01,3.01,,1844.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Turkey,TUR,2021-04-29,22568172.0,13646398.0,8921774.0,435369.0,262742.0,26.76,16.18,10.58,3115.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,2021-04-29,702568.0,702438.0,130.0,73376.0,27788.0,1.61,1.61,0.0,635.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,2021-04-29,10547584.0,,,81333.0,78049.0,106.64,,,7891.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United States,USA,2021-04-29,237360493.0,143793565.0,99668945.0,2721079.0,2630407.0,70.97,43.0,29.8,7865.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,2021-04-29,1786697.0,1157323.0,629374.0,46307.0,36810.0,51.43,33.32,18.12,10597.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
Vietnam,VNM,2021-04-29,506435.0,506435.0,,80797.0,53975.0,0.52,0.52,,555.0,Oxford/AstraZeneca,Government of Vietnam,https://vnexpress.net/them-3-ca-lay-nhiem-tu-benh-nhan-covid-19-o-ha-nam-4270750.html
Zambia,ZMB,2021-04-29,26580.0,26580.0,,4661.0,2005.0,0.14,0.14,,109.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/posts/1896610343846947
Zimbabwe,ZWE,2021-04-29,477597.0,400771.0,76826.0,19584.0,17971.0,3.21,2.7,0.52,1209.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1387855358157283328
